 Counter value is: 59 	Fri Dec 10 12:21:20 2021
 Counter value is: 58 	Fri Dec 10 12:21:21 2021
 Counter value is: 57 	Fri Dec 10 12:21:22 2021
 Counter value is: 56 	Fri Dec 10 12:21:23 2021
 Counter value is: 55 	Fri Dec 10 12:21:24 2021
 Counter value is: 54 	Fri Dec 10 12:21:25 2021
 Counter value is: 53 	Fri Dec 10 12:21:26 2021
 Counter value is: 52 	Fri Dec 10 12:21:27 2021
 Counter value is: 51 	Fri Dec 10 12:21:28 2021
 Counter value is: 50 	Fri Dec 10 12:21:29 2021
 Counter value is: 49 	Fri Dec 10 12:21:30 2021
 Counter value is: 48 	Fri Dec 10 12:21:31 2021
 Counter value is: 47 	Fri Dec 10 12:21:32 2021
 Counter value is: 46 	Fri Dec 10 12:21:33 2021
 Counter value is: 45 	Fri Dec 10 12:21:34 2021
 Counter value is: 44 	Fri Dec 10 12:21:35 2021
 Counter value is: 43 	Fri Dec 10 12:21:36 2021
 Counter value is: 42 	Fri Dec 10 12:21:37 2021
 Counter value is: 41 	Fri Dec 10 12:21:38 2021
 Counter value is: 40 	Fri Dec 10 12:21:39 2021
 Counter value is: 39 	Fri Dec 10 12:21:40 2021
 Counter value is: 38 	Fri Dec 10 12:21:41 2021
 Counter value is: 37 	Fri Dec 10 12:21:42 2021
 Counter value is: 36 	Fri Dec 10 12:21:43 2021
 Counter value is: 35 	Fri Dec 10 12:21:44 2021
 Counter value is: 34 	Fri Dec 10 12:21:45 2021
 Counter value is: 33 	Fri Dec 10 12:21:46 2021
 Counter value is: 32 	Fri Dec 10 12:21:47 2021
 Counter value is: 31 	Fri Dec 10 12:21:48 2021
 Counter value is: 30 	Fri Dec 10 12:21:49 2021
 Counter value is: 29 	Fri Dec 10 12:21:50 2021
 Counter value is: 28 	Fri Dec 10 12:21:51 2021
 Counter value is: 27 	Fri Dec 10 12:21:52 2021
 Counter value is: 26 	Fri Dec 10 12:21:53 2021
 Counter value is: 25 	Fri Dec 10 12:21:54 2021
 Counter value is: 24 	Fri Dec 10 12:21:55 2021
 Counter value is: 23 	Fri Dec 10 12:21:56 2021
 Counter value is: 22 	Fri Dec 10 12:21:57 2021
 Counter value is: 21 	Fri Dec 10 12:21:58 2021
 Counter value is: 20 	Fri Dec 10 12:21:59 2021
 Counter value is: 19 	Fri Dec 10 12:22:00 2021
 Counter value is: 18 	Fri Dec 10 12:22:01 2021
 Counter value is: 17 	Fri Dec 10 12:22:02 2021
 Counter value is: 16 	Fri Dec 10 12:22:03 2021
 Counter value is: 15 	Fri Dec 10 12:22:04 2021
 Counter value is: 14 	Fri Dec 10 12:22:05 2021
 Counter value is: 13 	Fri Dec 10 12:22:06 2021
 Counter value is: 12 	Fri Dec 10 12:22:07 2021
 Counter value is: 11 	Fri Dec 10 12:22:08 2021
 Counter value is: 10 	Fri Dec 10 12:22:09 2021
 Counter value is: 9 	Fri Dec 10 12:22:10 2021
 Counter value is: 8 	Fri Dec 10 12:22:11 2021
 Counter value is: 7 	Fri Dec 10 12:22:12 2021
 Counter value is: 6 	Fri Dec 10 12:22:13 2021
 Counter value is: 5 	Fri Dec 10 12:22:14 2021
 Counter value is: 4 	Fri Dec 10 12:22:15 2021
 Counter value is: 3 	Fri Dec 10 12:22:16 2021
 Counter value is: 2 	Fri Dec 10 12:22:17 2021
 Counter value is: 1 	Fri Dec 10 12:22:18 2021
 Counter value is: 60 	Fri Dec 10 12:22:19 2021
 Counter value is: 59 	Fri Dec 10 12:22:20 2021
 Counter value is: 58 	Fri Dec 10 12:22:21 2021
 Counter value is: 57 	Fri Dec 10 12:22:22 2021
 Counter value is: 56 	Fri Dec 10 12:22:23 2021
 Counter value is: 55 	Fri Dec 10 12:22:24 2021
 Counter value is: 54 	Fri Dec 10 12:22:25 2021
 Counter value is: 53 	Fri Dec 10 12:22:26 2021
 Counter value is: 52 	Fri Dec 10 12:22:27 2021
 Counter value is: 51 	Fri Dec 10 12:22:28 2021
 Counter value is: 50 	Fri Dec 10 12:22:29 2021
 Counter value is: 49 	Fri Dec 10 12:22:30 2021
 Counter value is: 48 	Fri Dec 10 12:22:31 2021
 Counter value is: 47 	Fri Dec 10 12:22:32 2021
 Counter value is: 46 	Fri Dec 10 12:22:33 2021
 Counter value is: 45 	Fri Dec 10 12:22:34 2021
 Counter value is: 44 	Fri Dec 10 12:22:35 2021
 Counter value is: 43 	Fri Dec 10 12:22:36 2021
 Counter value is: 42 	Fri Dec 10 12:22:37 2021
 Counter value is: 41 	Fri Dec 10 12:22:39 2021
 Counter value is: 40 	Fri Dec 10 12:22:40 2021
 Counter value is: 39 	Fri Dec 10 12:22:41 2021
 Counter value is: 38 	Fri Dec 10 12:22:42 2021
 Counter value is: 37 	Fri Dec 10 12:22:43 2021
 Counter value is: 36 	Fri Dec 10 12:22:44 2021
 Counter value is: 35 	Fri Dec 10 12:22:45 2021
 Counter value is: 34 	Fri Dec 10 12:22:46 2021
 Counter value is: 33 	Fri Dec 10 12:22:47 2021
